x,Degree 2,Degree 10,Degree 10 Regularized,small_err,big_err,reg_err
5,0.29538822190727587,395435.7856955984,0.133274230101694,0.08357557253759282,264934.07773393864,0.038743520108285565
6,0.30688367075225353,6333091.429782645,0.19680768288953882,0.07019508914260959,2991683.3184096343,0.045642264067924446
7,0.18795196146399898,3117816596.4789443,0.13477364677883744,0.04596370353314928,3057160942.4410057,0.05026407057327357
8,0.12933708993866758,2416904977620.4814,0.05303565702227728,0.02055838616318732,2416794837112.1846,0.015974379219586856
9,0.11462921095715431,77816273925476.53,0.06339609130461749,0.01957457510591765,77680822795077.4,0.021438642164784354
10,0.12403541194980006,61783458221887.09,0.059498017897124944,0.023817256658303136,42379418450446.65,0.019479705280590707
11,0.08263153620681432,1.0428996173717154e+16,0.028075658179121988,0.007843504237305997,1.0427859865910604e+16,0.002268589916910209
12,0.07352088780069556,1349698599.985158,0.024073439921337276,0.007837993092528518,826094719.8239286,0.0022072777836384646
13,0.05954262694665702,11939857.712354297,0.02103462284470267,0.005042776703253508,8541795.936582213,0.002355123369363987
14,0.06401913912346684,2170412.290663427,0.024946086289213302,0.005265636525280455,1109867.5606292072,0.002160295393422879
15,0.07209689436450113,86333905.00854829,0.028647078459448284,0.008072522497995591,80231591.83923031,0.0046760184900104165
16,0.06750905936008514,3551545.696378081,0.023788781046902335,0.007326118410966843,2399724.5872675516,0.0031771561997827455
17,0.05249878950501809,110849.66255069738,0.020389077671237266,0.004133420052822965,106445.21874884395,0.0022793140904301045
18,0.05625602832507231,22822.53404591384,0.018889909578907214,0.004855190610789243,20583.039985109484,0.0013729262384255462
19,0.0493183824687085,3490.434127536426,0.01651502085171895,0.0021673811437398606,1785.0998504049603,0.0009348685507614678
20,0.05669877370432209,2632419.3875085353,0.019547106961932292,0.004815004244268126,2614435.249286902,0.001985964662748376
21,0.047964265443112615,7180.327003681474,0.016123514146618403,0.0022311624608293717,7097.663972603422,0.0009768235150887394
22,0.04897443932448666,3604.4863557662825,0.01577727464159549,0.002253251847611849,3358.032101424708,0.0008082753515753927
23,0.045300494694494334,50.45526090507047,0.01581571996009173,0.0018823936396570728,23.093826773226986,0.001206186778925229
24,0.0431075714547084,27.880007451941864,0.014677948906885663,0.0013719767335253785,13.247389305964372,0.0007871194154744933
25,0.04225125078365288,4.386995397847733,0.013787363050486385,0.0011098549427143401,1.5449509684280345,0.0005886580726716859
26,0.042837741075350926,36.676994825011995,0.014713360675296846,0.001206344606532959,14.486318320519024,0.0008181712679670961
27,0.04110380812387849,170.79488516768444,0.012835039927897597,0.0008496055874177509,163.78294457088842,0.0005665801527776609
28,0.04306500421087837,16.795170055439915,0.013683215958639854,0.001311869772157863,11.733493343127485,0.0008246396593476008
29,0.04025660907804016,131.16746610501852,0.012155545820003603,0.0009459167334204411,124.73834678881613,0.0004808461854483306
30,0.03955380074842632,6.395495402521182,0.011353944373544936,0.0006558593559266126,4.1953357415071135,0.00041756107516174466
31,0.04225695567182675,78.75814139782808,0.012419064526930031,0.0012820910044023593,72.6792941501139,0.0005564347684765566
32,0.040870978958980266,2.7014658645198213,0.012823166314135909,0.0010774168067185714,1.1550322447595778,0.0012461495003389205
33,0.03987287365561472,3.35672369531758,0.011484557089073668,0.0010717195071554733,2.9816012476666662,0.0005855067296766078
34,0.041312148815640895,17.20654927531755,0.011776721804048715,0.0010343865969219533,15.573377954757243,0.0005153857178152069
35,0.04042913554256897,0.6414228975258874,0.010979968897716363,0.0010095273440294283,0.21553805818816735,0.0005022622577097842
36,0.03968369864687867,0.5640070184977438,0.010794071244360284,0.0008786776966719749,0.2379264102904493,0.00041823124555451333
37,0.03941932804238999,1.9426356893295784,0.011008539884444227,0.0006691301232403099,1.121835353881737,0.0004243640386165596
38,0.03962380631150871,8.736272511533961,0.010703080878892057,0.0007157454986525046,8.405620007602188,0.0003960409033087786
39,0.04014975127105904,0.294098917229303,0.011295509375037182,0.001133404744280879,0.1627316880800714,0.0007140518806418206
40,0.038472661798022195,0.3163918812785569,0.009998724176897381,0.0005803278558613859,0.2639874456377477,0.00033091745215776746
41,0.03786433690560616,0.0650513913948992,0.009666414596568772,0.00059891463337921,0.02530417091727219,0.0003027058126243025
42,0.03958545268917565,210.8421769593999,0.010213600309361411,0.0016023090677336547,210.3900345238288,0.0007211995673825222
43,0.03838653019330663,0.4410102148517024,0.010012331035347922,0.000590872135589225,0.23911513657086964,0.0006291455727819701
44,0.03953154926422325,1.0218224940380356,0.009965007020623171,0.0012236663069864586,0.5515490211902389,0.0006112637420384335
45,0.03799610839355989,2.018029339450135,0.00965690725908096,0.00041049767861777017,1.8997808893888244,0.0004218550708451381
46,0.03752714065271388,0.08618299308705608,0.008913052040808066,0.0005560155265726103,0.03713397301182088,0.00021633244075501776
47,0.03802946891285747,0.07893036569057625,0.0094535541954695,0.0004834993679444713,0.02738385214874009,0.0003111751494505271
48,0.037177690502173295,0.08985988797767135,0.009515641545615494,0.00032173638555170545,0.02765626768688594,0.0005108839788863454
49,0.03749091517542544,0.05361022013435617,0.008935195682717318,0.0006292431340169786,0.0186798571660433,0.0003177424230640899
50,0.0375739546566554,0.020062057677621335,0.008787540513697388,0.00046567260069542616,0.004678214490514213,0.00023436114066511035
51,0.03710913401884177,0.07317832064131381,0.008760096132388937,0.00042121620212280653,0.02483042055859019,0.0002677068414259307
52,0.03824505360774554,0.0357924688826889,0.008593521161656943,0.0004870210553547586,0.01799364495895642,0.00026759758799373184
